1,2.5
2,4.3
3,5.8
4,8.2
5,9.7
6,12.1
7,13.5
8,16.0
9,17.6
10,20.2
11,21.7
12,24.3
13,26.0
14,28.4
15,30.1
16,32.7
17,34.2
18,36.8
19,38.3
20,41.0
21,42.5
22,45.1
23,46.7
24,49.2
25,50.8
26,53.4
27,55.0
28,57.6
29,59.2
30,61.9
31,63.4
32,66.0
33,67.6
34,70.3
35,71.9
36,74.5
37,76.1
38,78.7
39,80.3
40,82.9
41,84.5
42,87.2
43,88.8
44,91.4
45,93.0
46,95.6
47,97.2
48,99.8
49,101.4
50,104.1
51,105.7
52,108.4
53,110.0
54,112.7
55,114.3
56,117.0
57,118.6
58,121.3
59,123.0
60,125.6
61,127.3
62,130.0
63,131.6
64,134.3
65,136.0
66,138.7
67,140.3
68,143.0
69,144.7
70,147.5
71,149.2
72,151.9
73,153.6
74,156.3
75,158.0
76,160.7
77,162.4
78,165.1
79,166.8
80,169.6
81,171.3
82,174.0
83,175.7
84,178.5
85,180.2
86,182.9
87,184.6
88,187.4
89,189.1
90,191.9
91,193.6
92,196.3
93,198.1
94,200.8
95,202.5
96,205.3
97,207.0
98,209.7
99,211.5
100,214.2
